A,B
2020-02-24,0.165009221349425
2020-02-25,0.241072652075965
2020-02-26,0.352176445555171
2020-02-27,0.514437584006531
2020-02-28,0.751357623979439
2020-02-29,1.0971739376104
2020-03-01,1.60169531301182
2020-03-02,2.33723807871882
2020-03-03,3.40848755721753
2020-03-04,4.9663331316619
2020-03-05,7.2268868662556
2020-03-06,10.4968063519146
2020-03-07,15.205295200156
2020-03-08,21.9409691097477
2020-03-09,31.4868591050335
2020-03-10,44.8375342098903
2020-03-11,63.1679048098344
2020-03-12,87.7074803275769
2020-03-13,119.471531967421
2020-03-14,158.841387069882
2020-03-15,205.096331424869
2020-03-16,256.144536422892
2020-03-17,308.735341204393
2020-03-18,359.210085655116
2020-03-19,404.465453884947
2020-03-20,442.630308871624
2020-03-21,473.187718334102
2020-03-22,496.653202080208
2020-03-23,514.101197981832
2020-03-24,526.766374351738
2020-03-25,535.800087438122
2020-03-26,542.163341819051
2020-03-27,546.606091652728
2020-03-28,549.688850299486
2020-03-29,551.818765974503
2020-03-30,553.285988686216
2020-03-31,554.294640192376
2020-04-01,554.987069147454
2020-04-02,555.461955563428
2020-04-03,555.787429704344
2020-04-04,556.010399467235
2020-04-05,556.163099914777
2020-04-06,556.26765426073
2020-04-07,556.339232414504
