A,B
2020-02-24,5.61893917875775
2020-02-25,7.24951565563013
2020-02-26,9.35208519487933
2020-02-27,12.0624840128821
2020-02-28,15.5551185306133
2020-02-29,20.0535716302755
2020-03-01,25.8438966153888
2020-03-02,33.291126698388
2020-03-03,42.8595237830685
2020-03-04,55.1369927151379
2020-03-05,70.8638208064823
2020-03-06,90.9653520555556
2020-03-07,116.587205417415
2020-03-08,149.129979096944
2020-03-09,190.277803173323
2020-03-10,242.011421127928
2020-03-11,306.591751347786
2020-03-12,386.494748282742
2020-03-13,484.274597605431
2020-03-14,602.333200990378
2020-03-15,742.58450483235
2020-03-16,906.027612285992
2020-03-17,1092.28410150811
2020-03-18,1299.20408140736
2020-03-19,1522.67987919411
2020-03-20,1756.79488474595
2020-03-21,1994.35788932284
2020-03-22,2227.74586050031
2020-03-23,2449.85747259986
2020-03-24,2654.93321478344
2020-03-25,2839.05371898299
2020-03-26,3000.25237443339
2020-03-27,3138.30279060404
2020-03-28,3254.31247778376
2020-03-29,3350.25982562064
2020-03-30,3428.57435967519
2020-03-31,3491.81113219007
2020-04-01,3542.43000539079
2020-04-02,3582.66678532885
2020-04-03,3614.47373971299
2020-04-04,3639.5067611554
2020-04-05,3659.1404702388
2020-04-06,3674.49769969604
2020-04-07,3686.48444477547
