A,B
2020-02-24,5.99005107670326
2020-02-25,7.36583264328229
2020-02-26,9.05622657409809
2020-02-27,11.1324760260426
2020-02-28,13.6815990459253
2020-02-29,16.8096992304092
2020-03-01,20.6458779884805
2020-03-02,25.3468089007198
2020-03-03,31.1020124400042
2020-03-04,38.139826624432
2020-03-05,46.7339959663555
2020-03-06,57.210684152938
2020-03-07,69.9555389949087
2020-03-08,85.4201833164705
2020-03-09,104.127156430463
2020-03-10,126.671880581673
2020-03-11,153.71969031842
2020-03-12,185.9953975205
2020-03-13,224.262397008171
2020-03-14,269.28816939594
2020-03-15,321.793538506841
2020-03-16,382.384593196844
2020-03-17,451.469146419101
2020-03-18,529.164060902449
2020-03-19,615.205211097665
2020-03-20,708.876906242023
2020-03-21,808.980090433892
2020-03-22,913.85621166657
2020-03-23,1021.47503104165
2020-03-24,1129.58092977479
2020-03-25,1235.87736477243
2020-03-26,1338.21845700501
2020-03-27,1434.7746297139
2020-03-28,1524.14662650612
2020-03-29,1605.41602610071
2020-03-30,1678.13519952679
2020-03-31,1742.27072598487
2020-04-01,1798.11927551522
2020-04-02,1846.21428905911
2020-04-03,1887.237514175
2020-04-04,1921.9439564269
2020-04-05,1951.10382762586
2020-04-06,1975.46146319759
2020-04-07,1995.70906834475
2020-04-08,2012.47225914484
