A,B
2020-02-24,2.9809902578259
2020-02-25,3.9079372403786
2020-02-26,5.12249463279085
2020-02-27,6.71345199302984
2020-02-28,8.79668759011651
2020-02-29,11.5232025699155
2020-03-01,15.0893731125376
2020-03-02,19.7499138524034
2020-03-03,25.8340660249432
2020-03-04,33.7654647998743
2020-03-05,44.0859282930539
2020-03-06,57.4829277834093
2020-03-07,74.8195681079793
2020-03-08,97.1642885527334
2020-03-09,125.814908696661
2020-03-10,162.307871607543
2020-03-11,208.398659388116
2020-03-12,265.994208050368
2020-03-13,337.014981456209
2020-03-14,423.167434345024
2020-03-15,525.62283484348
2020-03-16,644.63074310527
2020-03-17,779.142664108036
2020-03-18,926.566839023829
2020-03-19,1082.78694247654
2020-03-20,1242.52461842129
2020-03-21,1400.00895143104
2020-03-22,1549.78638539658
2020-03-23,1687.43947695886
2020-03-24,1810.02551730863
2020-03-25,1916.16783051617
2020-03-26,2005.85829881841
2020-03-27,2080.09844662235
2020-03-28,2140.50685490399
2020-03-29,2188.97957638568
2020-03-30,2227.44134480386
2020-03-31,2257.68915062534
2020-04-01,2281.3110214218
2020-04-02,2299.65761821504
2020-04-03,2313.84648630406
2020-04-04,2324.78376617749
2020-04-05,2333.19321786818
2020-04-06,2339.64645379194
2020-04-07,2344.59111047117
2020-04-08,2348.37549831594
2020-04-09,2351.26932885102
2020-04-10,2353.48068342403
