A,B
2020-02-24,118.392105215696
2020-02-25,140.332299417977
2020-02-26,166.304123250568
2020-02-27,197.0345759188
2020-02-28,233.376188111711
2020-02-29,276.326461081146
2020-03-01,327.049405712608
2020-03-02,386.899014083581
2020-03-03,457.444276605505
2020-03-04,540.495045001993
2020-03-05,638.127610100929
2020-03-06,752.708288177563
2020-03-07,886.912568947435
2020-03-08,1043.73646310369
2020-03-09,1226.49561359629
2020-03-10,1438.80656282173
2020-03-11,1684.54342650423
2020-03-12,1967.76234025261
2020-03-13,2292.58576419802
2020-03-14,2663.03953161533
2020-03-15,3082.83798370983
2020-03-16,3555.11721910372
2020-03-17,4082.12378669011
2020-03-18,4664.8759724965
2020-03-19,5302.82627486782
2020-03-20,5993.56476310378
2020-03-21,6732.61076243693
2020-03-22,7513.3411511986
2020-03-23,8327.09447621944
2020-03-24,9163.47004632503
2020-03-25,10010.8123192391
2020-03-26,10856.8389030581
2020-03-27,11689.3432481742
2020-03-28,12496.8882005978
2020-03-29,13269.4084366507
2020-03-30,13998.6578455088
2020-03-31,14678.4668736817
2020-04-01,15304.8067866988
2020-04-02,15875.6851387821
2020-04-03,16390.9145139346
2020-04-04,16851.8033936199
2020-04-05,17260.8154025631
2020-04-06,17621.234431273
2020-04-07,17936.861739579
2020-04-08,18211.7599206503
2020-04-09,18450.0492764823
2020-04-10,18655.7554252583
2020-04-11,18832.7027914829
2020-04-12,18984.4465761485
2020-04-13,19114.235279499
2020-04-14,19224.9962938001
2020-04-15,19319.3380476299
2020-04-16,19399.5633463226
