A,B
2020-02-24,5.61245016649255
2020-02-25,6.90931747077962
2020-02-26,8.50448233232925
2020-02-27,10.465853157311
2020-02-28,12.8764366004138
2020-02-29,15.8375092392586
2020-03-01,19.4723602155471
2020-03-02,23.9306572899801
2020-03-03,29.3934638917439
2020-03-04,36.0788884994434
2020-03-05,44.2482698261159
2020-03-06,54.2126785154464
2020-03-07,66.3393324074769
2020-03-08,81.0572609153084
2020-03-09,98.8612009014043
2020-03-10,120.31225945473
2020-03-11,146.033361803638
2020-03-12,176.696986027399
2020-03-13,213.002314587795
2020-03-14,255.638947258938
2020-03-15,305.235060084871
2020-03-16,362.289744432211
2020-03-17,427.092501749143
2020-03-18,499.637430568821
2020-03-19,579.544787086493
2020-03-20,666.006746557849
2020-03-21,757.775126143114
2020-03-22,853.204535980987
2020-03-23,950.354383304753
2020-03-24,1047.13939656165
2020-03-25,1141.50530228534
2020-03-26,1231.59903952146
2020-03-27,1315.90449676303
2020-03-28,1393.32451566742
2020-03-29,1463.20378675351
2020-03-30,1525.30013246894
2020-03-31,1579.71980674977
2020-04-01,1626.83475514679
2020-04-02,1667.19746779824
2020-04-03,1701.46433504356
2020-04-04,1730.33333787554
2020-04-05,1754.49775915774
2020-04-06,1774.61485962304
2020-04-07,1791.28703992926
2020-04-08,1805.05256513653
2020-04-09,1816.38308138848
2020-04-10,1825.6855985955
2020-04-11,1833.30714173197
2020-04-12,1839.54077125735
2020-04-13,1844.63208856555
2020-04-14,1848.78566262976
2020-04-15,1852.17104663901
2020-04-16,1854.92821400012
2020-04-17,1857.17234856204
2020-04-18,1858.99798945554
2020-04-19,1860.48256875124
