A,B
2020-02-24,0.665530507998971
2020-02-25,0.853599768441552
2020-02-26,1.09474112025747
2020-02-27,1.40388380873788
2020-02-28,1.80012617300111
2020-02-29,2.30788025605531
2020-03-01,2.95831802088886
2020-03-02,3.79119046123886
2020-03-03,4.85710232815509
2020-03-04,6.22033457544557
2020-03-05,7.96231034715526
2020-03-06,10.1857921980765
2020-03-07,13.0198681557956
2020-03-08,16.6257164919496
2020-03-09,21.2030105117612
2020-03-10,26.996603454895
2020-03-11,34.3027803682374
2020-03-12,43.4738387616486
2020-03-13,54.919041714456
2020-03-14,69.0991120945791
2020-03-15,86.5105641623912
2020-03-16,107.65566886541
2020-03-17,132.994371066457
2020-03-18,162.876901826522
2020-03-19,197.46094241817
2020-03-20,236.62495576415
2020-03-21,279.897851808341
2020-03-22,326.430348595009
2020-03-23,375.030007465435
2020-03-24,424.267107618656
2020-03-25,472.635691783706
2020-03-26,518.733318541706
2020-03-27,561.415527110483
2020-03-28,599.891144979025
2020-03-29,633.746483210175
2020-03-30,662.908580722745
2020-03-31,687.570733849002
2020-04-01,708.105303620118
2020-04-02,724.982733022268
2020-04-03,738.707061857737
2020-04-04,749.770812881794
2020-04-05,758.627455304915
2020-04-06,765.677582040288
2020-04-07,771.26462734854
2020-04-08,775.676544334177
2020-04-09,779.150752402245
2020-04-10,781.880521865955
2020-04-11,784.021651413399
2020-04-12,785.698790369538
2020-04-13,787.01108772311
2020-04-14,788.037054314518
2020-04-15,788.838641851976
2020-04-16,789.464603019035
2020-04-17,789.953222751663
2020-04-18,790.334516513737
2020-04-19,790.631986475257
