A,B
2020-02-24,3.06504438908709
2020-02-25,3.85722098705269
2020-02-26,4.85365202709402
2020-02-27,6.10671809384434
2020-02-28,7.68206717145159
2020-02-29,9.66187889250052
2020-03-01,12.1488758600722
2020-03-02,15.2712200172805
2020-03-03,19.1884372170391
2020-03-04,24.0985036172886
2020-03-05,30.2461918114401
2020-03-06,37.9326953139705
2020-03-07,47.5264019657607
2020-03-08,59.4744354495709
2020-03-09,74.3141855375748
2020-03-10,92.683452854632
2020-03-11,115.327001073995
2020-03-12,143.096231460735
2020-03-13,176.937448721393
2020-03-14,217.863010636495
2020-03-15,266.899036687697
2020-03-16,325.004099649148
2020-03-17,392.956502834678
2020-03-18,471.214341991081
2020-03-19,559.762745045074
2020-03-20,657.974817570723
2020-03-21,764.522648077646
2020-03-22,877.375999102718
2020-03-23,993.91361049977
2020-03-24,1111.14516801822
2020-03-25,1226.00889066597
2020-03-26,1335.68430360968
2020-03-27,1437.85443467201
2020-03-28,1530.86912918576
2020-03-29,1613.79265266219
2020-03-30,1686.34989048971
2020-03-31,1748.8049686937
2020-04-01,1801.8106709795
2020-04-02,1846.26023450975
2020-04-03,1883.16132869292
2020-04-04,1913.54060195379
2020-04-05,1938.37890366988
2020-04-06,1958.57266768331
2020-04-07,1974.91524070458
2020-04-08,1988.09206048505
2020-04-09,1998.68459236902
2020-04-10,2007.17918986297
2020-04-11,2013.97821551683
2020-04-12,2019.41170428751
2020-04-13,2023.74854954374
2020-04-14,2027.20667269086
2020-04-15,2029.96194909032
2020-04-16,2032.15585262629
2020-04-17,2033.90188785041
2020-04-18,2035.29093138251
2020-04-19,2036.39562382478
2020-04-20,2037.27395376825
2020-04-21,2037.97216551694
