A,B
2020-02-24,1.43518132424724
2020-02-25,1.82163738712303
2020-02-26,2.31204125534903
2020-02-27,2.93428257683094
2020-02-28,3.72369124243573
2020-02-29,4.72499622623986
2020-03-01,5.99478425968503
2020-03-02,7.60457614580113
2020-03-03,9.64466021703793
2020-03-04,12.2288441308833
2020-03-05,15.5003045979801
2020-03-06,19.6387238725124
2020-03-07,24.868891987818
2020-03-08,31.4709088121301
2020-03-09,39.792015370668
2020-03-10,50.2598832210414
2020-03-11,63.3968435447895
2020-03-12,79.8339795546134
2020-03-13,100.323165129785
2020-03-14,125.74395132913
2020-03-15,157.100682401147
2020-03-16,195.503509069061
2020-03-17,242.125472455347
2020-03-18,298.127380390762
2020-03-19,364.544090938316
2020-03-20,442.131643820621
2020-03-21,531.185605976582
2020-03-22,631.356420807422
2020-03-23,741.503525519988
2020-03-24,859.638754635614
2020-03-25,983.001928640412
2020-03-26,1108.28290848861
2020-03-27,1231.96097258285
2020-03-28,1350.69173078842
2020-03-29,1461.65413774835
2020-03-30,1562.78502711946
2020-03-31,1652.8679177228
2020-04-01,1731.48686616938
2020-04-02,1798.88654245509
2020-04-03,1855.78915394926
2020-04-04,1903.2112089169
2020-04-05,1942.30741936193
2020-04-06,1974.25334800877
2020-04-07,2000.16700852606
2020-04-08,2021.06337474895
2020-04-09,2037.83357240719
2020-04-10,2051.24082706761
2020-04-11,2061.92668317494
2020-04-12,2070.42272521949
2020-04-13,2077.16457853753
2020-04-14,2082.50618058511
2020-04-15,2086.73318304992
2020-04-16,2090.07492579917
2020-04-17,2092.71478699622
2020-04-18,2094.79892530704
2020-04-19,2096.44354172795
2020-04-20,2097.74083770074
2020-04-21,2098.76385842769
