A,B
2020-02-24,794.547242124794
2020-02-25,949.477787664063
2020-02-26,1134.36254912622
2020-02-27,1354.88369249015
2020-02-28,1617.75487929965
2020-02-29,1930.8888256845
2020-03-01,2303.58361991406
2020-03-02,2746.72602649778
2020-03-03,3273.00773180807
2020-03-04,3897.14720994962
2020-03-05,4636.105335504
2020-03-06,5509.27677222219
2020-03-07,6538.63132100448
2020-03-08,7748.76979239281
2020-03-09,9166.847908383
2020-03-10,10822.3101700965
2020-03-11,12746.3654048153
2020-03-12,14971.1299242878
2020-03-13,17528.3674313041
2020-03-14,20447.7728529661
2020-03-15,23754.7864829181
2020-03-16,27467.9901198581
2020-03-17,31596.2287910553
2020-03-18,36135.7123508751
2020-03-19,41067.4613693105
2020-03-20,46355.539979868
2020-03-21,51946.5268597706
2020-03-22,57770.582078996
2020-03-23,63744.2624336026
2020-03-24,69774.9477691979
2020-03-25,75766.4304348579
2020-03-26,81624.9753246597
2020-03-27,87265.0546457523
2020-03-28,92614.0332200119
2020-03-29,97615.3033620876
2020-03-30,102229.673203398
2020-03-31,106435.11208474
2020-04-01,110225.180808394
2020-04-02,113606.588959826
2020-04-03,116596.329964048
2020-04-04,119218.776357314
2020-04-05,121503.010878149
2020-04-06,123480.556542162
2020-04-07,125183.572565206
2020-04-08,126643.51259094
2020-04-09,127890.197909501
2020-04-10,128951.236846148
2020-04-11,129851.716007735
2020-04-12,130614.093573069
2020-04-13,131258.234486388
2020-04-14,131801.538904596
2020-04-15,132259.126497393
2020-04-16,132644.049125108
2020-04-17,132967.51260034
2020-04-18,133239.094650407
2020-04-19,133466.951017598
2020-04-20,133658.005126683
2020-04-21,133818.119189169
2020-04-22,133952.246252034
