A,B
2020-02-24,0.790937655894993
2020-02-25,1.00907421733462
2020-02-26,1.28725904005161
2020-02-27,1.64195146006721
2020-02-28,2.09407810789767
2020-02-29,2.67021771859179
2020-03-01,3.40408284476887
2020-03-02,4.338361933836
2020-03-03,5.52699166264199
2020-03-04,7.03793124314565
2020-03-05,8.95650293486395
2020-03-06,11.3893387010263
2020-03-07,14.4689202894536
2020-03-08,18.3586022170532
2020-03-09,23.2578413747421
2020-03-10,29.4070953222293
2020-03-11,37.091465731988
2020-03-12,46.641638583422
2020-03-13,58.4300323568175
2020-03-14,72.8594164746721
2020-03-15,90.340853407825
2020-03-16,111.258090084074
2020-03-17,135.917090081231
2020-03-18,164.482847757176
2020-03-19,196.911064834356
2020-03-20,232.888653876438
2020-03-21,271.801715363917
2020-03-22,312.748909198775
2020-03-23,354.609307083827
2020-03-24,396.157987606931
2020-03-25,436.205903107287
2020-03-26,473.731258314527
2020-03-27,507.972943083398
2020-03-28,538.470590746861
2020-03-29,565.053120651382
2020-03-30,587.790377377846
2020-03-31,606.927055700313
2020-04-01,622.815627350307
2020-04-02,635.859016872551
2020-04-03,646.467640076615
2020-04-04,655.030942402199
2020-04-05,661.901134538624
2020-04-06,667.385993011215
2020-04-07,671.747733079695
2020-04-08,675.205533775512
2020-04-09,677.939960264133
2020-04-10,680.09811760235
2020-04-11,681.798824169279
2020-04-12,683.137412878732
2020-04-13,684.189977791925
2020-04-14,685.017011948467
2020-04-15,685.666454756638
2020-04-16,686.17620386967
2020-04-17,686.576161113649
2020-04-18,686.889884074891
2020-04-19,687.135910356276
2020-04-20,687.328813898954
2020-04-21,687.480044237734
2020-04-22,687.598591252939
