A,B
2020-02-24,7.79332178987737
2020-02-25,9.30776431547356
2020-02-26,11.1154112491669
2020-02-27,13.2725642733177
2020-02-28,15.8461388801215
2020-02-29,18.9155814115807
2020-03-01,22.5750965816427
2020-03-02,26.9362201956781
2020-03-03,32.1307683539499
2020-03-04,38.3141865373392
2020-03-05,45.669307509947
2020-03-06,54.4105031125904
2020-03-07,64.7881781156287
2020-03-08,77.0934998160809
2020-03-09,91.6631796692827
2020-03-10,108.8840171659
2020-03-11,129.196776023758
2020-03-12,153.09878516754
2020-03-13,181.144443181286
2020-03-14,213.94256493216
2020-03-15,252.14926719855
2020-03-16,296.454891748081
2020-03-17,347.563382158569
2020-03-18,406.162667767011
2020-03-19,472.885091739556
2020-03-20,548.257879934741
2020-03-21,632.645170152774
2020-03-22,726.185183805493
2020-03-23,828.728509315479
2020-03-24,939.785714204541
2020-03-25,1058.493911511
2020-03-26,1183.61168295104
2020-03-27,1313.54930050369
2020-03-28,1446.43642108991
2020-03-29,1580.22307740418
2020-03-30,1712.80332787398
2020-03-31,1842.14617292171
2020-04-01,1966.41676446439
2020-04-02,2084.07304074815
2020-04-03,2193.92803216455
2020-04-04,2295.17464000626
2020-04-05,2387.3758867209
2020-04-06,2470.42809030002
2020-04-07,2544.50652760224
2020-04-08,2610.00308944905
2020-04-09,2667.46384893659
2020-04-10,2717.53215733157
2020-04-11,2760.90051947774
2020-04-12,2798.27250921713
2020-04-13,2830.33454695603
2020-04-14,2857.73647867184
2020-04-15,2881.07947122206
2020-04-16,2900.90964136245
2020-04-17,2917.71594078497
2020-04-18,2931.93102807672
2020-04-19,2943.93410234702
2020-04-20,2954.05491052579
2020-04-21,2962.57834918502
2020-04-22,2969.74925377519
2020-04-23,2975.77710303781
2020-04-24,2980.84046787452
2020-04-25,2985.09110763501
2020-04-26,2988.65766837855
2020-04-27,2991.64897239656
2020-04-28,2994.15691056052
2020-04-29,2996.25896240235
2020-04-30,2998.02037595207
