A,B
2020-02-24,2.04891190019722
2020-02-25,2.47643949579041
2020-02-26,2.99290021056673
2020-02-27,3.61666705725252
2020-02-28,4.36985061315034
2020-02-29,5.27903262059187
2020-03-01,6.37613126655771
2020-03-02,7.69941601539892
2020-03-03,9.29468943331423
2020-03-04,11.2166512058888
2020-03-05,13.5304545005779
2020-03-06,16.3134555611055
2020-03-07,19.6571420504466
2020-03-08,23.6692017340933
2020-03-09,28.4756575991784
2020-03-10,34.2229449910352
2020-03-11,41.0797373505258
2020-03-12,49.23823704093
2020-03-13,58.9145363891172
2020-03-14,70.3475262528646
2020-03-15,83.7956986522664
2020-03-16,99.5310829876564
2020-03-17,117.829516481959
2020-03-18,138.956542634481
2020-03-19,163.14853523873
2020-03-20,190.589236003431
2020-03-21,221.382810398866
2020-03-22,255.525721271464
2020-03-23,292.881005233056
2020-03-24,333.159560793728
2020-03-25,375.913350740192
2020-03-26,420.54454752204
2020-03-27,466.332433403902
2020-03-28,512.476600722463
2020-03-29,558.151485952218
2020-03-30,602.564600058742
2020-03-31,645.00991062767
2020-04-01,684.909017439854
2020-04-02,721.835613782742
2020-04-03,755.522265806792
2020-04-04,785.851701541697
2020-04-05,812.836838614022
2020-04-06,836.594473831606
2020-04-07,857.317134868429
2020-04-08,875.246508026948
2020-04-09,890.650565774192
2020-04-10,903.805353623593
2020-04-11,914.981523968611
2020-04-12,924.43515709815
2020-04-13,932.402139706041
2020-04-14,939.095300683114
2020-04-15,944.70355560877
2020-04-16,949.392423844084
2020-04-17,953.305413732449
2020-04-18,956.565897522423
2020-04-19,959.279206203353
2020-04-20,961.534761547182
2020-04-21,963.408128915956
2020-04-22,964.96292262895
2020-04-23,966.252529388588
2020-04-24,967.321637844641
2020-04-25,968.207576773573
2020-04-26,968.941472934084
2020-04-27,969.549244248706
2020-04-28,970.052445898304
2020-04-29,970.468987164678
2020-04-30,970.813736087776
2020-05-01,971.099027674057
2020-05-02,971.335089801603
2020-05-03,971.530399306734
2020-05-04,971.691979121931
2020-05-05,971.82564583113
2020-05-06,971.936215648115
