A,B
2020-02-24,193.155480217789
2020-02-25,223.955785233857
2020-02-26,259.608013200501
2020-02-27,300.856099944693
2020-02-28,348.551089564644
2020-02-29,403.664177683627
2020-03-01,467.300512364864
2020-03-02,540.713472471713
2020-03-03,625.318991886908
2020-03-04,722.709301922998
2020-03-05,834.665216781595
2020-03-06,963.165783485292
2020-03-07,1110.39375816762
2020-03-08,1278.73496257446
2020-03-09,1470.76913797575
2020-03-10,1689.24948613649
2020-03-11,1937.06773034853
2020-03-12,2217.20133530713
2020-03-13,2532.63961705226
2020-03-14,2886.28600709312
2020-03-15,3280.8348779316
2020-03-16,3718.62324706585
2020-03-17,4201.46044861583
2020-03-18,4730.44246438994
2020-03-19,5305.76180663628
2020-03-20,5926.52814730785
2020-03-21,6590.61851976338
2020-03-22,7294.57789556954
2020-03-23,8033.59024955094
2020-03-24,8801.53611396693
2020-03-25,9591.14491502932
2020-03-26,10394.2397512838
2020-03-27,11202.0602777951
2020-03-28,12005.6382156674
2020-03-29,12796.192046165
2020-03-30,13565.5044635879
2020-03-31,14306.2488457502
2020-04-01,15012.238730125
2020-04-02,15678.5853136897
2020-04-03,16301.7600044695
2020-04-04,16879.5698075804
2020-04-05,17411.0612198521
2020-04-06,17896.372616044
2020-04-07,18336.5559687225
2020-04-08,18733.3868862974
2020-04-09,19089.1783856796
2020-04-10,19406.6095275912
2020-04-11,19688.575821388
2020-04-12,19938.0646631654
2020-04-13,20158.0562516532
2020-04-14,20351.4484715419
2020-04-15,20521.0030530254
2020-04-16,20669.3097548357
2020-04-17,20798.7652059577
2020-04-18,20911.563223396
2020-04-19,21009.6937738655
2020-04-20,21094.9481728148
2020-04-21,21168.9285515102
2020-04-22,21233.0600331279
2020-04-23,21288.6044212463
2020-04-24,21336.6745106478
2020-04-25,21378.2483807477
2020-04-26,21414.1832306728
2020-04-27,21445.2284686106
2020-04-28,21472.037883859
2020-04-29,21495.180815112
2020-04-30,21515.1522893038
2020-05-01,21532.3821472977
2020-05-02,21547.2432003837
2020-05-03,21560.0584786163
2020-05-04,21571.1076413641
2020-05-05,21580.6326242963
2020-05-06,21588.8425971006
