A,B
2020-02-24,67.73845680146
2020-02-25,78.2954388107356
2020-02-26,90.4706567533843
2020-02-27,104.503125335719
2020-02-28,120.664159385464
2020-02-29,139.260739303804
2020-03-01,160.638882481379
2020-03-02,185.18687655411
2020-03-03,213.338174865927
2020-03-04,245.573686705946
2020-03-05,282.423114763484
2020-03-06,324.464901396754
2020-03-07,372.324247909507
2020-03-08,426.668574971572
2020-03-09,488.199710522053
2020-03-10,557.642043099714
2020-03-11,635.725889615403
2020-03-12,723.165429632694
2020-03-13,820.630789715514
2020-03-14,928.714256194093
2020-03-15,1047.89117669603
2020-03-16,1178.47687977136
2020-03-17,1320.58185813676
2020-03-18,1474.06843122274
2020-03-19,1638.51297393843
2020-03-20,1813.17836764509
2020-03-21,1997.00137390313
2020-03-22,2188.59896419855
2020-03-23,2386.29617502716
2020-03-24,2588.17587751988
2020-03-25,2792.14822728878
2020-03-26,2996.03493092905
2020-03-27,3197.6613416119
2020-03-28,3394.94822873301
2020-03-29,3585.9951157783
2020-03-30,3769.14833531345
2020-03-31,3943.04913139747
2020-04-01,4106.65978673492
2020-04-02,4259.26835479072
2020-04-03,4400.47470865588
2020-04-04,4530.16202050061
2020-04-05,4648.45839237007
2020-04-06,4755.69326591137
2020-04-07,4852.35263789039
2020-04-08,4939.03622259636
2020-04-09,5016.4187315469
2020-04-10,5085.21653361508
2020-04-11,5146.1602035051
2020-04-12,5199.97289953438
2020-04-13,5247.35413072252
2020-04-14,5288.96825305563
2020-04-15,5325.43694021828
2020-04-16,5357.33486875799
2020-04-17,5385.18790949952
2020-04-18,5409.47320054072
2020-04-19,5430.62057371644
2020-04-20,5449.01490353541
2020-04-21,5464.99903771455
2020-04-22,5478.8770476275
2020-04-23,5490.91760380647
2020-04-24,5501.35733621737
2020-04-25,5510.40408239339
2020-04-26,5518.23996011529
2020-04-27,5525.02422674415
2020-04-28,5530.8959060681
2020-04-29,5535.97617698783
2020-04-30,5540.37052771445
2020-05-01,5544.17068536696
2020-05-02,5547.45633472663
2020-05-03,5550.29664206049
2020-05-04,5552.75160085312
2020-05-05,5554.87321635893
2020-05-06,5556.70654538627
