A,B
2020-02-24,32.3741138496168
2020-02-25,37.419866388456
2020-02-26,43.2461220835308
2020-02-27,49.9716308624173
2020-02-28,57.7325472859745
2020-02-29,66.6847598963971
2020-03-01,77.0064573498726
2020-03-02,88.9009286743583
2020-03-03,102.599583035333
2020-03-04,118.365157627578
2020-03-05,136.495059465029
2020-03-06,157.324756477384
2020-03-07,181.231093916649
2020-03-08,208.635362159685
2020-03-09,240.00588039856
2020-03-10,275.859786968399
2020-03-11,316.763641973749
2020-03-12,363.332354307207
2020-03-13,416.225849064728
2020-03-14,476.14280299345
2020-03-15,543.810710711903
2020-03-16,619.971525222221
2020-03-17,705.362171489504
2020-03-18,800.689395600799
2020-03-19,906.598719606014
2020-03-20,1023.63775315527
2020-03-21,1152.21478033605
2020-03-22,1292.55437581369
2020-03-23,1444.65274528549
2020-03-24,1608.23641237675
2020-03-25,1782.72861315565
2020-03-26,1967.22809943242
2020-03-27,2160.50478596467
2020-03-28,2361.01566138789
2020-03-29,2566.94260381279
2020-03-30,2776.25136177317
2020-03-31,2986.76832272904
2020-04-01,3196.26926400298
2020-04-02,3402.57255164704
2020-04-03,3603.62859296237
2020-04-04,3797.5979047243
2020-04-05,3982.91180790772
2020-04-06,4158.31214505384
2020-04-07,4322.86905629524
2020-04-08,4475.97826865511
2020-04-09,4617.34119340221
2020-04-10,4746.93220948229
2020-04-11,4864.95783780147
2020-04-12,4971.81221596444
2020-04-13,5068.03256998311
2020-04-14,5154.25746104494
2020-04-15,5231.18964016835
2020-04-16,5299.56449549845
2020-04-17,5360.12439384334
2020-04-18,5413.59872105861
2020-04-19,5460.68910427718
2020-04-20,5502.05912414834
2020-04-21,5538.32776198876
2020-04-22,5570.06584074111
2020-04-23,5597.79478054754
2020-04-24,5621.98707678961
2020-04-25,5643.06800434271
2020-04-26,5661.41814586764
2020-04-27,5677.37642793611
2020-04-28,5691.24342356819
2020-04-29,5703.2847424022
2020-04-30,5713.73438060794
2020-05-01,5722.79794291529
2020-05-02,5730.65568021658
2020-05-03,5737.46530964027
2020-05-04,5743.36460123256
2020-05-05,5748.47372771218
2020-05-06,5752.89738228358
2020-05-07,5756.72667511619
2020-05-08,5760.0408225576
2020-05-09,5762.90864502923
