A,B
2020-02-24,0.291209622788561
2020-02-25,0.360658298044237
2020-02-26,0.446647169176988
2020-02-27,0.553103697132085
2020-02-28,0.684881613636545
2020-02-29,0.847976018879521
2020-03-01,1.04978663775549
2020-03-02,1.2994390560383
2020-03-03,1.60817523447814
2020-03-04,1.9898259884235
2020-03-05,2.46137918886131
2020-03-06,3.04365780180258
2020-03-07,3.76212092730181
2020-03-08,4.64779779868093
2020-03-09,5.73835789053518
2020-03-10,7.07930792475251
2020-03-11,8.72528603597687
2020-03-12,10.7413913252816
2020-03-13,13.2044396277462
2020-03-14,16.2039697811481
2020-03-15,19.8427367650668
2020-03-16,24.2363207185957
2020-03-17,29.5113644653461
2020-03-18,35.8018516351144
2020-03-19,43.2427984486088
2020-03-20,51.9608245165064
2020-03-21,62.061378865479
2020-03-22,73.6130054937828
2020-03-23,86.6299553175916
2020-03-24,101.055571050728
2020-03-25,116.749877152305
2020-03-26,133.485213107295
2020-03-27,150.953058403606
2020-03-28,168.783200909169
2020-03-29,186.573455828765
2020-03-30,203.925205717695
2020-03-31,220.478279548428
2020-04-01,235.938892087606
2020-04-02,250.096432136106
2020-04-03,262.827920566609
2020-04-04,274.091777034735
2020-04-05,283.914282213285
2020-04-06,292.372566894839
2020-04-07,299.577393162792
2020-04-08,305.657930767318
2020-04-09,310.749632827787
2020-04-10,314.985450181796
2020-04-11,318.490078180191
2020-04-12,321.376668795281
2020-04-13,323.745380937462
2020-04-14,325.6831977191
2020-04-15,327.264545917549
2020-04-16,328.552368911513
2020-04-17,329.599408391192
2020-04-18,330.449533837388
2020-04-19,331.13902129563
2020-04-20,331.69772704484
2020-04-21,332.150131242087
2020-04-22,332.51624530878
2020-04-23,332.812387910785
2020-04-24,333.051840355522
2020-04-25,333.24539489727
2020-04-26,333.401810077572
2020-04-27,333.528186688012
2020-04-28,333.630276786544
2020-04-29,333.712736777135
2020-04-30,333.779334087004
2020-05-01,333.833115565507
2020-05-02,333.876544444666
2020-05-03,333.911611568305
2020-05-04,333.939925618543
2020-05-05,333.962786236718
2020-05-06,333.981243236986
2020-05-07,333.996144528607
2020-05-08,334.008174881057
2020-05-09,334.017887269414
2020-05-10,334.02572821212
2020-05-11,334.032058247289
