A,B
2020-02-24,1226.33950367224
2020-02-25,1390.52579806987
2020-02-26,1576.16567333062
2020-02-27,1785.91261788762
2020-02-28,2022.70612371058
2020-02-29,2289.79054691422
2020-03-01,2590.73158181653
2020-03-02,2929.42896696305
2020-03-03,3310.12369994422
2020-03-04,3737.39766024321
2020-03-05,4216.16314050818
2020-03-06,4751.63939172853
2020-03-07,5349.31293565353
2020-03-08,6014.87814390173
2020-03-09,6754.15450179363
2020-03-10,7572.97715910346
2020-03-11,8477.05792834082
2020-03-12,9471.814939485
2020-03-13,10562.1708052745
2020-03-14,11752.3214675299
2020-03-15,13045.4808922074
2020-03-16,14443.6103665988
2020-03-17,15947.1450958661
2020-03-18,17554.7347051345
2020-03-19,19263.0175740217
2020-03-20,21066.4509899574
2020-03-21,22957.2192042684
2020-03-22,24925.2390211541
2020-03-23,26958.2772328864
2020-03-24,29042.1861582367
2020-03-25,31161.2533987862
2020-03-26,33298.6508675768
2020-03-27,35436.9576968368
2020-03-28,37558.7234129289
2020-03-29,39647.033140554
2020-03-30,41686.036362484
2020-03-31,43661.4049569031
2020-04-01,45560.6941363107
2020-04-02,47373.5902020567
2020-04-03,49092.0401004484
2020-04-04,50710.2680661452
2020-04-05,52224.6929510499
2020-04-06,53633.765452236
2020-04-07,54937.7471951066
2020-04-08,56138.4537710014
2020-04-09,57238.9819405737
2020-04-10,58243.4379917636
2020-04-11,59156.6803649279
2020-04-12,59984.0856963756
2020-04-13,60731.3437953421
2020-04-14,61404.2840047791
2020-04-15,62008.7330083505
2020-04-16,62550.4024338471
2020-04-17,63034.8034976389
2020-04-18,63467.1853309331
2020-04-19,63852.4934108742
2020-04-20,64195.3445780287
2020-04-21,64500.0153615724
2020-04-22,64770.4406783369
2020-04-23,65010.2203644135
2020-04-24,65222.6313978313
2020-04-25,65410.6440514535
2020-04-26,65576.9405610852
2020-04-27,65723.9351972069
2020-04-28,65853.7948875944
2020-04-29,65968.4597537902
2020-04-30,66069.6631004577
2020-05-01,66158.9505376638
2020-05-02,66237.6980270208
2020-05-03,66307.1287282051
2020-05-04,66368.3285871218
2020-05-05,66422.260654867
2020-05-06,66469.7781610887
2020-05-07,66511.6363892313
2020-05-08,66548.503416885
2020-05-09,66580.9697939686
2020-05-10,66609.5572363434
2020-05-11,66634.7264139043
