A,B
2020-02-24,282.619271294039
2020-02-25,316.230015576807
2020-02-26,353.758295119204
2020-02-27,395.640762723704
2020-02-28,442.357762853786
2020-02-29,494.43645459272
2020-03-01,552.453828300757
2020-03-02,617.039505487987
2020-03-03,688.878182524178
2020-03-04,768.711545604505
2020-03-05,857.339447089127
2020-03-06,955.620092567299
2020-03-07,1064.46894498726
2020-03-08,1184.85600895277
2020-03-09,1317.80111782878
2020-03-10,1464.36681285023
2020-03-11,1625.64838260758
2020-03-12,1802.76063019311
2020-03-13,1996.82096244397
2020-03-14,2208.92846071912
2020-03-15,2440.13870552279
2020-03-16,2691.43429736189
2020-03-17,2963.69125048256
2020-03-18,3257.64173706196
2020-03-19,3573.83402250123
2020-03-20,3912.59084349643
2020-03-21,4273.96791354785
2020-03-22,4657.71465660119
2020-03-23,5063.239617689
2020-03-24,5489.58322043883
2020-03-25,5935.40057415353
2020-03-26,6398.95682490557
2020-03-27,6878.13706240019
2020-03-28,7370.47203496451
2020-03-29,7873.17992611702
2020-03-30,8383.22328702658
2020-03-31,8897.37901558955
2020-04-01,9412.3181630456
2020-04-02,9924.69147259389
2020-04-03,10431.2160283149
2020-04-04,10928.75828956
2020-04-05,11414.4091202979
2020-04-06,11885.5471480827
2020-04-07,12339.8878046985
2020-04-08,12775.5165781566
2020-04-09,13190.9062018195
2020-04-10,13584.9185924758
2020-04-11,13956.7932276517
2020-04-12,14306.1242663267
2020-04-13,14632.8290511338
2020-04-14,14937.1107041992
2020-04-15,15219.4173882944
2020-04-16,15480.4005085072
2020-04-17,15720.8737383297
2020-04-18,15941.7743233723
2020-04-19,16144.1276906123
2020-04-20,16329.0160031805
2020-04-21,16497.5509696447
2020-04-22,16650.8509513
2020-04-23,16790.0222115828
2020-04-24,16916.1440131971
2020-04-25,17030.2571824232
2020-04-26,17133.3557164924
2020-04-27,17226.3809989501
2020-04-28,17310.2182005085
2020-04-29,17385.6944712323
2020-04-30,17453.5785676904
2020-05-01,17514.581601094
2020-05-02,17569.358635865
2020-05-03,17618.5109100864
2020-05-04,17662.5884883183
2020-05-05,17702.0931924279
2020-05-06,17737.4816869915
2020-05-07,17769.168622449
2020-05-08,17797.529761707
2020-05-09,17822.9050346331
2020-05-10,17845.6014802544
2020-05-11,17865.8960488925
2020-05-12,17884.0382463646
2020-05-13,17900.2526101335
2020-05-14,17914.7410132706
2020-05-15,17927.6847966136
2020-05-16,17939.2467328329
2020-05-17,17949.5728284991
2020-05-18,17958.7939718717
2020-05-19,17967.0274351593
2020-05-20,17974.378240581
