A,B
2020-02-24,342.123174263689
2020-02-25,376.948146626132
2020-02-26,415.267975576817
2020-02-27,457.422725824838
2020-02-28,503.783285217212
2020-02-29,554.753674573078
2020-03-01,610.773424045458
2020-03-02,672.319990993665
2020-03-03,739.911186529044
2020-03-04,814.107568635765
2020-03-05,895.514748922277
2020-03-06,984.785547504604
2020-03-07,1082.62191617536
2020-03-08,1189.77653384854
2020-03-09,1307.05396035625
2020-03-10,1435.311215201
2020-03-11,1575.45762719698
2020-03-12,1728.45377964458
2020-03-13,1895.30935462739
2020-03-14,2077.07966038719
2020-03-15,2274.86060909356
2020-03-16,2489.78190069355
2020-03-17,2722.99816437572
2020-03-18,2975.67781544252
2020-03-19,3248.98940538048
2020-03-20,3544.08528024255
2020-03-21,3862.08242074785
2020-03-22,4204.04042010842
2020-03-23,4570.93666511557
2020-03-24,4963.6389237448
2020-03-25,5382.87570776407
2020-03-26,5829.20496814847
2020-03-27,6302.98188772855
2020-03-28,6804.32674876606
2020-03-29,7333.09405832554
2020-03-30,7888.84429290069
2020-03-31,8470.81975444535
2020-04-01,9077.92609029779
2020-04-02,9708.72099828186
2020-04-03,10361.4114985704
2020-04-04,11033.8608962187
2020-04-05,11723.6061835797
2020-04-06,12427.8861536492
2020-04-07,13143.6799406564
2020-04-08,13867.7551119531
2020-04-09,14596.723853516
2020-04-10,15327.1052721008
2020-04-11,16055.3914299009
2020-04-12,16778.1144731858
2020-04-13,17491.9121410179
2020-04-14,18193.5890516321
2020-04-15,18880.1714507924
2020-04-16,19548.9535390345
2020-04-17,20197.5340302092
2020-04-18,20823.8421815717
2020-04-19,21426.1531241522
2020-04-20,22003.092864677
2020-04-21,22553.6337900029
2020-04-22,23077.081857565
2020-04-23,23573.0568897415
2020-04-24,24041.4675075635
2020-04-25,24482.4822510632
2020-04-26,24896.4983577558
2020-04-27,25284.1095289763
2020-04-28,25646.0738284119
2020-04-29,25983.2826490815
2020-04-30,26296.7314720094
2020-05-01,26587.4929358796
2020-05-02,26856.6925519155
2020-05-03,27105.4872381902
2020-05-04,27335.04671536
2020-05-05,27546.5377016872
2020-05-06,27741.1107675875
2020-05-07,27919.8896560091
2020-05-08,28083.9628412923
2020-05-09,28234.3770821137
2020-05-10,28372.1327201391
2020-05-11,28498.1804818361
2020-05-12,28613.4195536796
2020-05-13,28718.6967183541
2020-05-14,28814.8063595751
2020-05-15,28902.4911643357
2020-05-16,28982.4433726098
2020-05-17,29055.306445019
2020-05-18,29121.6770381605
2020-05-19,29182.1071948768
2020-05-20,29237.1066725608
2020-05-21,29287.1453465812
2020-05-22,29332.6556381301
2020-05-23,29374.0349263181
2020-05-24,29411.6479133124
2020-05-25,29445.8289188697
2020-05-26,29476.8840869179
2020-05-27,29505.0934920358
2020-05-28,29530.7131379175
2020-05-29,29553.9768433256
2020-05-30,29575.0980137522
2020-05-31,29594.2712991341
