A,B
2020-02-24,33.6534456545177
2020-02-25,37.6402093312219
2020-02-26,42.0927776665433
2020-02-27,47.0639521822367
2020-02-28,52.6121155616204
2020-02-29,58.8017205381044
2020-03-01,65.7037956061634
2020-03-02,73.3964604864548
2020-03-03,81.965441688899
2020-03-04,91.5045753782993
2020-03-05,102.116280995465
2020-03-06,113.911984675136
2020-03-07,127.012466406911
2020-03-08,141.548099122896
2020-03-09,157.65894154056
2020-03-10,175.494639799149
2020-03-11,195.214085972407
2020-03-12,216.984774833325
2020-03-13,240.981794379474
2020-03-14,267.386381399969
2020-03-15,296.383971804603
2020-03-16,328.16167779814
2020-03-17,362.905131719885
2020-03-18,400.794651048135
2020-03-19,442.000702230989
2020-03-20,486.678673942695
2020-03-21,534.963013824451
2020-03-22,586.960836580086
2020-03-23,642.74517396588
2020-03-24,702.348105541568
2020-03-25,765.754077873247
2020-03-26,832.89378204977
2020-03-27,903.639006100831
2020-03-28,977.798900554437
2020-03-29,1055.11808275562
2020-03-30,1135.27695161854
2020-03-31,1217.89448608042
2020-04-01,1302.5336601017
2020-04-02,1388.70943353612
2020-04-03,1475.89908684288
2020-04-04,1563.55447857169
2020-04-05,1651.11564012506
2020-04-06,1738.02500340659
2020-04-07,1823.74149946936
2020-04-08,1907.7537780599
2020-04-09,1989.59187738646
2020-04-10,2068.83680971535
2020-04-11,2145.12770356949
2020-04-12,2218.16633556823
2020-04-13,2287.71907236099
2020-04-14,2353.61640692006
2020-04-15,2415.75040043681
2020-04-16,2474.07042451134
2020-04-17,2528.57763781557
2020-04-18,2579.31863158962
2020-04-19,2626.37864718347
2020-04-20,2669.87471588931
2020-04-21,2709.94900599473
2020-04-22,2746.76259262804
2020-04-23,2780.48979906436
2020-04-24,2811.31319820136
2020-04-25,2839.41931248509
2020-04-26,2864.99501067446
2020-04-27,2888.22457029493
2020-04-28,2909.28735448011
2020-04-29,2928.35603972846
2020-04-30,2945.59532534077
2020-05-01,2961.16105441259
2020-05-02,2975.19967884033
2020-05-03,2987.84800568113
2020-05-04,2999.23316843394
2020-05-05,3009.47277365604
2020-05-06,3018.67518026792
2020-05-07,3026.93987556699
2020-05-08,3034.35791814016
2020-05-09,3041.01242340826
2020-05-10,3046.97907240067
2020-05-11,3052.3266285444
2020-05-12,3057.11745079169
2020-05-13,3061.40799435703
2020-05-14,3065.24929275219
2020-05-15,3068.68741676298
2020-05-16,3071.76390756972
2020-05-17,3074.51618243733
2020-05-18,3076.97791234449
2020-05-19,3079.17937163665
2020-05-20,3081.14776031487
2020-05-21,3082.90749995054
2020-05-22,3084.48050447453
2020-05-23,3085.88642725396
2020-05-24,3087.14288596286
2020-05-25,3088.26566678992
2020-05-26,3089.26890952296
2020-05-27,3090.1652750158
2020-05-28,3090.96609648762
2020-05-29,3091.68151603562
2020-05-30,3092.32060766259
2020-05-31,3092.89148803744
2020-06-01,3093.40141612109
2020-06-02,3093.85688270475
2020-06-03,3094.26369082444
2020-06-04,3094.62702793562
