A,B
2020-02-24,2.79802287704811
2020-02-25,3.44628430834926
2020-02-26,4.24427416487581
2020-02-27,5.2263353865942
2020-02-28,6.43456454492929
2020-02-29,7.92049876859644
2020-03-01,9.74713684002694
2020-03-02,11.9913434332538
2020-03-03,14.7466830378539
2020-03-04,18.1267208452319
2020-03-05,22.2688076329111
2020-03-06,27.3383286231228
2020-03-07,33.533334474077
2020-03-08,41.089375772555
2020-03-09,50.2842184991094
2020-03-10,61.4419143419137
2020-03-11,74.9354268998402
2020-03-12,91.1866730311934
2020-03-13,110.662449393601
2020-03-14,133.864336949468
2020-03-15,161.31042808078
2020-03-16,193.506793205885
2020-03-17,230.907258315263
2020-03-18,273.861585819076
2020-03-19,322.554723927144
2020-03-20,376.943300480608
2020-03-21,436.699345416916
2020-03-22,501.174058419022
2020-03-23,569.394613594092
2020-03-24,640.103113568405
2020-03-25,711.838742280481
2020-03-26,783.053756400877
2020-03-27,852.244703048812
2020-03-28,918.07582635161
2020-03-29,979.473914428974
2020-03-30,1035.68185606276
2020-03-31,1086.2686396764
2020-04-01,1131.10266610124
2020-04-02,1170.30057865323
2020-04-03,1204.16486141761
2020-04-04,1233.12130913482
2020-04-05,1257.66381577805
2020-04-06,1278.31021845212
2020-04-07,1295.57001747328
2020-04-08,1309.92293662892
2020-04-09,1321.8063775374
2020-04-10,1331.60958958159
2020-04-11,1339.67254444749
2020-04-12,1346.28785536962
2020-04-13,1351.70447543255
2020-04-14,1356.13227052585
2020-04-15,1359.74685888318
2020-04-16,1362.69433478766
2020-04-17,1365.09565624808
2020-04-18,1367.05058734865
2020-04-19,1368.64115807529
2020-04-20,1369.93464864784
2020-04-21,1370.98613042669
2020-04-22,1371.84060781289
2020-04-23,1372.53480987315
2020-04-24,1373.09867990263
2020-04-25,1373.55660792961
2020-04-26,1373.92844664755
2020-04-27,1374.23034629036
2020-04-28,1374.47543905213
2020-04-29,1374.67439907124
2020-04-30,1374.83589988406
2020-05-01,1374.96698764846
2020-05-02,1375.07338533564
2020-05-03,1375.15974045405
2020-05-04,1375.22982665329
2020-05-05,1375.28670770572
2020-05-06,1375.33287082868
2020-05-07,1375.37033504108
2020-05-08,1375.40073920433
2020-05-09,1375.42541353982
2020-05-10,1375.44543771322
2020-05-11,1375.46168800148
2020-05-12,1375.47487558984
2020-05-13,1375.48557766369
2020-05-14,1375.49426264889
2020-05-15,1375.50131070039
2020-05-16,1375.5070303328
2020-05-17,1375.51167191886
2020-05-18,1375.5154386453
2020-05-19,1375.51849540468
2020-05-20,1375.52097601199
2020-05-21,1375.52298906151
2020-05-22,1375.52462267994
2020-05-23,1375.52594838398
2020-05-24,1375.52702421077
2020-05-25,1375.52789725851
2020-05-26,1375.52860574815
2020-05-27,1375.52918069663
2020-05-28,1375.52964727465
2020-05-29,1375.53002590861
2020-05-30,1375.53033317482
2020-05-31,1375.53058252517
2020-06-01,1375.53078487607
2020-06-02,1375.53094908633
2020-06-03,1375.53108234498
2020-06-04,1375.53119048601
