A,B
2020-02-24,0.170808090353303
2020-02-25,0.23230675927973
2020-02-26,0.315931856481225
2020-02-27,0.429630695112719
2020-02-28,0.58419363384464
2020-02-29,0.794261427230782
2020-03-01,1.0796812661337
2020-03-02,1.46732520748617
2020-03-03,1.99351575858624
2020-03-04,2.70723757740062
2020-03-05,3.67434636884143
2020-03-06,4.98300437911972
2020-03-07,6.75055296716719
2020-03-08,9.13193328183164
2020-03-09,12.3295119027326
2020-03-10,16.6036428289309
2020-03-11,22.2823393274825
2020-03-12,29.7668656559638
2020-03-13,39.5278216702283
2020-03-14,52.0836967902657
2020-03-15,67.9520856467673
2020-03-16,87.5653136680622
2020-03-17,111.150798672721
2020-03-18,138.594653869337
2020-03-19,169.331233787157
2020-03-20,202.317072662215
2020-03-21,236.134070651826
2020-03-22,269.21586919999
2020-03-23,300.127521354357
2020-03-24,327.797800046671
2020-03-25,351.63090865075
2020-03-26,371.487504911347
2020-03-27,387.577745272225
2020-03-28,400.325009286141
2020-03-29,410.244440976705
2020-03-30,417.856232591938
2020-03-31,423.634821145494
2020-04-01,427.98603495686
2020-04-02,431.242347732619
2020-04-03,433.668063396717
2020-04-04,435.468846967178
2020-04-05,436.802291405702
2020-04-06,437.787815941043
2020-04-07,438.515182121274
2020-04-08,439.051461129675
2020-04-09,439.44655306359
2020-04-10,439.737465402961
