A,B
2020-02-24,132.451103315077
2020-02-25,155.888937461642
2020-02-26,183.440261800542
2020-02-27,215.813988407466
2020-02-28,253.836214210114
2020-02-29,298.4676832376
2020-03-01,350.823111617781
2020-03-02,412.19226999072
2020-03-03,484.062557769582
2020-03-04,568.142576257069
2020-03-05,666.385894956146
2020-03-06,781.013788323629
2020-03-07,914.535180921448
2020-03-08,1069.76136553202
2020-03-09,1249.81225261996
2020-03-10,1458.10999591386
2020-03-11,1698.35488218735
2020-03-12,1974.47749519258
2020-03-13,2290.56056237838
2020-03-14,2650.72385771612
2020-03-15,3058.96644397404
2020-03-16,3518.96283118727
2020-03-17,4033.81372169383
2020-03-18,4605.75815857998
2020-03-19,5235.86197814519
2020-03-20,5923.70677470893
2020-03-21,6667.1126348521
2020-03-22,7461.9344502601
2020-03-23,8301.9730172376
2020-03-24,9179.03601952192
2020-03-25,10083.1692972554
2020-03-26,11003.0566561948
2020-03-27,11926.5605492163
2020-03-28,12841.3519009143
2020-03-29,13735.561157434
2020-03-30,14598.3786880514
2020-03-31,15420.542040958
2020-04-01,16194.6676797683
2020-04-02,16915.4104132814
2020-04-03,17579.4586860205
2020-04-04,18185.393255627
2020-04-05,18733.4479108095
2020-04-06,19225.2136518833
2020-04-07,19663.3238954215
2020-04-08,20051.1503660669
2020-04-09,20392.5299504172
2020-04-10,20691.5338544167
