A,B
2020-02-24,0.580627875155408
2020-02-25,0.783332898645142
2020-02-26,1.05673730298113
2020-02-27,1.42544412885089
2020-02-28,1.92257273881711
2020-02-29,2.59266957564298
2020-03-01,3.49558337780521
2020-03-02,4.71159947305702
2020-03-03,6.34819700541538
2020-03-04,8.54886020579189
2020-03-05,11.5044200190315
2020-03-06,15.4673854517819
2020-03-07,20.7695709658153
2020-03-08,27.8429099451598
2020-03-09,37.2424622994102
2020-03-10,49.6689870775941
2020-03-11,65.9857148388101
2020-03-12,87.2198733031976
2020-03-13,114.534336577573
2020-03-14,149.149964317883
2020-03-15,192.198494400549
2020-03-16,244.495662170195
2020-03-17,306.25154152885
2020-03-18,376.780487571417
2020-03-19,454.319943756522
2020-03-20,536.078802402857
2020-03-21,618.575720852096
2020-03-22,698.203158189258
2020-03-23,771.835095935741
2020-03-24,837.272013584473
2020-03-25,893.405052454261
2020-03-26,940.114481681866
2020-03-27,978.008496653845
2020-03-28,1008.12296684054
2020-03-29,1031.66495381066
2020-03-30,1049.83357211904
2020-03-31,1063.71649644734
2020-04-01,1074.24424182216
2020-04-02,1082.18170095687
2020-04-03,1088.14017637398
2020-04-04,1092.59845685042
2020-04-05,1095.92609156577
2020-04-06,1098.4052798663
2020-04-07,1100.24983396521
2020-04-08,1101.62081914014
2020-04-09,1102.63905093636
2020-04-10,1103.3948690888
