A,B
2020-02-24,1.23599295478887
2020-02-25,1.60687620160137
2020-02-26,2.08890968618055
2020-02-27,2.71530730833175
2020-02-28,3.52914125502499
2020-02-29,4.58622214825262
2020-03-01,5.95878902328314
2020-03-02,7.74021496057621
2020-03-03,10.0509710575895
2020-03-04,13.0461231658981
2020-03-05,16.9246509177057
2020-03-06,21.9408565275523
2020-03-07,28.4180371965274
2020-03-08,36.7643746455749
2020-03-09,47.4905656601505
2020-03-10,61.2279637233669
2020-03-11,78.7447832345403
2020-03-12,100.95610139209
2020-03-13,128.92094085346
2020-03-14,163.816863840097
2020-03-15,206.880049962835
2020-03-16,259.298455189647
2020-03-17,322.050071108254
2020-03-18,395.690629532855
2020-03-19,480.116755013978
2020-03-20,574.357760121435
2020-03-21,676.470030120086
2020-03-22,783.604344842682
2020-03-23,892.275797212839
2020-03-24,998.795936534957
2020-03-25,1099.76000878
2020-03-26,1192.4578110584
2020-03-27,1275.11022987164
2020-03-28,1346.90378180359
2020-03-29,1407.86227231032
2020-03-30,1458.6289549502
2020-03-31,1500.23084163513
2020-04-01,1533.87379766816
2020-04-02,1560.79019368314
2020-04-03,1582.14072630427
2020-04-04,1598.96120830117
2020-04-05,1612.14173822683
2020-04-06,1622.42654913309
2020-04-07,1630.4254508077
2020-04-08,1636.63060108904
2020-04-09,1641.43469279719
2020-04-10,1645.14835170195
