A,B
2020-02-24,0.35295308515341
2020-02-25,0.461132211360404
2020-02-26,0.602463524864324
2020-02-27,0.787103608785724
2020-02-28,1.02831843787953
2020-02-29,1.34343374739064
2020-03-01,1.75507477646783
2020-03-02,2.29278271861676
2020-03-03,2.99512101720317
2020-03-04,3.91241768224864
2020-03-05,5.11033181915062
2020-03-06,6.67448550013282
2020-03-07,8.71646797013338
2020-03-08,11.3815996418559
2020-03-09,14.8589390566893
2020-03-10,19.3941252847423
2020-03-11,25.3057647559831
2020-03-12,33.0061802797939
2020-03-13,43.0274109478249
2020-03-14,56.0533293948351
2020-03-15,72.9585318621851
2020-03-16,94.8541001433164
2020-03-17,123.139191271841
2020-03-18,159.555334956992
2020-03-19,206.236868223028
2020-03-20,265.745656460955
2020-03-21,341.070916581166
2020-03-22,435.566103972351
2020-03-23,552.786635737941
2020-03-24,696.189668418754
2020-03-25,868.668610361295
2020-03-26,1071.93068764568
2020-03-27,1305.79134554646
2020-03-28,1567.54418691029
2020-03-29,1851.63265130688
2020-03-30,2149.84219640832
2020-03-31,2452.10675950744
2020-04-01,2747.80421462158
2020-04-02,3027.20753157148
2020-04-03,3282.68725111916
2020-04-04,3509.37338942455
2020-04-05,3705.20788097655
2020-04-06,3870.52213893989
2020-04-07,4007.37010173226
2020-04-08,4118.83135999636
2020-04-09,4208.42248077573
2020-04-10,4279.67210946032
