A,B
2020-02-24,3.7762818895786
2020-02-25,4.589587770919
2020-02-26,5.57762843520986
2020-02-27,6.77774052318491
2020-02-28,8.23514138824134
2020-02-29,10.004546234983
2020-03-01,12.1520950406554
2020-03-02,14.7576379581458
2020-03-03,17.9174301901344
2020-03-04,21.7472865362304
2020-03-05,26.3862398464093
2020-03-06,32.0007334219895
2020-03-07,38.7893507125202
2020-03-08,46.9880406456519
2020-03-09,56.8757259970649
2020-03-10,68.7800759520213
2020-03-11,83.0830716865774
2020-03-12,100.225784745992
2020-03-13,120.71151468306
2020-03-14,145.106095948461
2020-03-15,174.033803042483
2020-03-16,208.166906255524
2020-03-17,248.206652138551
2020-03-18,294.853416119675
2020-03-19,348.764213052123
2020-03-20,410.496903661144
2020-03-21,480.442512086387
2020-03-22,558.75011387778
2020-03-23,645.2524621533
2020-03-24,739.404095087456
2020-03-25,840.245823585743
2020-03-26,946.408757565317
2020-03-27,1056.16636037262
2020-03-28,1167.53460000995
2020-03-29,1278.40992064064
2020-03-30,1386.72561796829
2020-03-31,1490.60248461499
2020-04-01,1588.47107803981
2020-04-02,1679.15008468601
2020-04-03,1761.87538703562
2020-04-04,1836.28421801952
2020-04-05,1902.36558304892
2020-04-06,1960.39089900382
2020-04-07,2010.8380161817
2020-04-08,2054.31878816219
2020-04-09,2091.51658377443
2020-04-10,2123.13666997021
