A,B
2020-02-24,0.763375256706975
2020-02-25,0.992049751468661
2020-02-26,1.2891629598682
2020-02-27,1.67515459197093
2020-02-28,2.1765392866085
2020-02-29,2.82769184392806
2020-03-01,3.67314311370876
2020-03-02,4.77052296995706
2020-03-03,6.19431650897535
2020-03-04,8.04063084126372
2020-03-05,10.4331983698756
2020-03-06,13.5308599648331
2020-03-07,17.5367629709567
2020-03-08,22.7094489977554
2020-03-09,29.3758536753508
2020-03-10,37.945932015796
2020-03-11,48.9280692076857
2020-03-12,62.9435236086211
2020-03-13,80.7367581188619
2020-03-14,103.176584313634
2020-03-15,131.240687601912
2020-03-16,165.973835442003
2020-03-17,208.409088086433
2020-03-18,259.443695003345
2020-03-19,319.669705031968
2020-03-20,389.175488189054
2020-03-21,467.356705887566
2020-03-22,552.795693503031
2020-03-23,643.272458456431
2020-03-24,735.9452902949
2020-03-25,827.684926511184
2020-03-26,915.485520532735
2020-03-27,996.842220273801
2020-03-28,1069.99992683487
2020-03-29,1134.0313586806
2020-03-30,1188.76310088362
2020-03-31,1234.60654904815
2020-04-01,1272.35729477591
2020-04-02,1303.0107509883
2020-04-03,1327.61886156467
2020-04-04,1347.19354534736
2020-04-05,1362.65108965684
2020-04-06,1374.78722710179
2020-04-07,1384.27254553151
2020-04-08,1391.65981608192
2020-04-09,1397.3972377706
2020-04-10,1401.84373246961
