A,B
2020-02-24,0.038043951684055
2020-02-25,0.0557588304123097
2020-02-26,0.0817212083353715
2020-02-27,0.119769373164377
2020-02-28,0.175526192790639
2020-02-29,0.257226875398067
2020-03-01,0.376928423001417
2020-03-02,0.552274196010761
2020-03-03,0.809062822652981
2020-03-04,1.18497620648805
2020-03-05,1.73496415906749
2020-03-06,2.53896739284607
2020-03-07,3.71287826128598
2020-03-08,5.42384977058594
2020-03-09,7.91115503771772
2020-03-10,11.5135076043511
2020-03-11,16.7025327913764
2020-03-12,24.1189375871188
2020-03-13,34.6013506921344
2020-03-14,49.1862739055768
2020-03-15,69.0417311639356
2020-03-16,95.284975300929
2020-03-17,128.648061811762
2020-03-18,169.027013508472
2020-03-19,215.086901998884
2020-03-20,264.208248343208
2020-03-21,312.974899310171
2020-03-22,358.066704828642
2020-03-23,397.100988186596
2020-03-24,429.009480664746
2020-03-25,453.893250102092
2020-03-26,472.59559555199
2020-03-27,486.265741446388
2020-03-28,496.055474565184
2020-03-29,502.96409427638
2020-03-30,507.789141586538
2020-03-31,511.134610576103
2020-04-01,513.442540260238
2020-04-02,515.029172367529
2020-04-03,516.117325342688
2020-04-04,516.862383504304
2020-04-05,517.371951031576
2020-04-06,517.720191346702
2020-04-07,517.958054890097
2020-04-08,518.120467840541
2020-04-09,518.231336005795
2020-04-10,518.307005410272
